# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	995105	996232	+					rlmC		KPN_RS04800	1128		old_locus_tag=KPN_00890
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	995105	996232	+	WP_012068495.1	WP_012068495.1		23S rRNA (uracil(747)-C(5))-methyltransferase RlmC	rlmC		KPN_RS04800	1128	375	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	996311	997027	+							KPN_RS04805	717		old_locus_tag=KPN_00891
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	996311	997027	+	WP_002896380.1	WP_002896380.1		response regulator transcription factor			KPN_RS04805	717	238	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	997024	998496	+							KPN_RS04810	1473		old_locus_tag=KPN_00892
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	997024	998496	+	WP_002896382.1	WP_002896382.1		sensor histidine kinase			KPN_RS04810	1473	490	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	998583	999314	-					artJ		KPN_RS04815	732		old_locus_tag=KPN_00893
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	998583	999314	-	WP_002896384.1	WP_002896384.1		arginine ABC transporter substrate-binding protein ArtJ	artJ		KPN_RS04815	732	243	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	999498	1000166	-					artM		KPN_RS04820	669		old_locus_tag=KPN_00894
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	999498	1000166	-	WP_004141917.1	WP_004141917.1		arginine ABC transporter permease ArtM	artM		KPN_RS04820	669	222	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1000166	1000882	-					artQ		KPN_RS04825	717		old_locus_tag=KPN_00895
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1000166	1000882	-	WP_002896386.1	WP_002896386.1		arginine ABC transporter permease ArtQ	artQ		KPN_RS04825	717	238	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1000889	1001620	-					artI		KPN_RS04830	732		old_locus_tag=KPN_00896
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1000889	1001620	-	WP_002896390.1	WP_002896390.1		arginine ABC transporter substrate-binding protein ArtI	artI		KPN_RS04830	732	243	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1001641	1002369	-					artP		KPN_RS04835	729		old_locus_tag=KPN_00897
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1001641	1002369	-	WP_002896392.1	WP_002896392.1		arginine ABC transporter ATP-binding protein ArtP	artP		KPN_RS04835	729	242	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1002596	1003111	-							KPN_RS04840	516		old_locus_tag=KPN_00898
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1002596	1003111	-	WP_002896394.1	WP_002896394.1		lipoprotein			KPN_RS04840	516	171	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1003988	1005127	+							KPN_RS04845	1140		old_locus_tag=KPN_00899
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1003988	1005127	+	WP_041937597.1	WP_041937597.1		GGDEF domain-containing protein			KPN_RS04845	1140	379	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1005159	1005989	+							KPN_RS04850	831		old_locus_tag=KPN_00900
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1005159	1005989	+	WP_004209681.1	WP_004209681.1		N-acetylmuramoyl-L-alanine amidase			KPN_RS04850	831	276	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1005986	1006999	-							KPN_RS04855	1014		old_locus_tag=KPN_00901
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1005986	1006999	-	WP_002896399.1	WP_002896399.1		NAD-dependent epimerase/dehydratase family protein			KPN_RS04855	1014	337	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1007087	1008529	-							KPN_RS04860	1443		old_locus_tag=KPN_00902
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1007087	1008529	-	WP_012068497.1	WP_012068497.1		SDR family oxidoreductase			KPN_RS04860	1443	480	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1008540	1009541	-					ltaE		KPN_RS04865	1002		old_locus_tag=KPN_00903
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1008540	1009541	-	WP_012068498.1	WP_012068498.1		low-specificity L-threonine aldolase	ltaE		KPN_RS04865	1002	333	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1009580	1011298	-					poxB		KPN_RS04870	1719		old_locus_tag=KPN_00904
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1009580	1011298	-	WP_041937711.1	WP_041937711.1		ubiquinone-dependent pyruvate dehydrogenase	poxB		KPN_RS04870	1719	572	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1011450	1011884	+							KPN_RS04875	435		old_locus_tag=KPN_00905
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1011450	1011884	+	WP_012068500.1	WP_012068500.1		DoxX family protein			KPN_RS04875	435	144	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1012096	1013064	-					hcr		KPN_RS04880	969		old_locus_tag=KPN_00906
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1012096	1013064	-	WP_004147771.1	WP_004147771.1		NADH oxidoreductase	hcr		KPN_RS04880	969	322	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1013075	1014727	-					hcp		KPN_RS04885	1653		old_locus_tag=KPN_00907
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1013075	1014727	-	WP_004183528.1	WP_004183528.1		hydroxylamine reductase	hcp		KPN_RS04885	1653	550	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1014871	1015770	-							KPN_RS04890	900		old_locus_tag=KPN_00908
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1014871	1015770	-	WP_004147773.1	WP_004147773.1		lysine exporter LysO family protein			KPN_RS04890	900	299	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1015886	1016581	-					aqpZ		KPN_RS04895	696		old_locus_tag=KPN_00909
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1015886	1016581	-	WP_002896434.1	WP_002896434.1		aquaporin Z	aqpZ		KPN_RS04895	696	231	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1017001	1018659	+							KPN_RS04900	1659		old_locus_tag=KPN_00910
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1017001	1018659	+	WP_004176693.1	WP_004176693.1		ATP-dependent endonuclease			KPN_RS04900	1659	552	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1018806	1019921	+					macA		KPN_RS04905	1116		old_locus_tag=KPN_00911
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1018806	1019921	+	WP_002896440.1	WP_002896440.1		macrolide transporter subunit MacA	macA		KPN_RS04905	1116	371	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1019918	1021858	+					macB		KPN_RS04910	1941		old_locus_tag=KPN_00912
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1019918	1021858	+	WP_012068502.1	WP_012068502.1		macrolide ABC transporter ATP-binding protein/permease MacB	macB		KPN_RS04910	1941	646	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1021935	1022156	-					cspD		KPN_RS04915	222		old_locus_tag=KPN_00913
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1021935	1022156	-	WP_002896516.1	WP_002896516.1		cold shock-like protein CspD	cspD		KPN_RS04915	222	73	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1022482	1022799	+					clpS		KPN_RS04920	318		old_locus_tag=KPN_00914
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1022482	1022799	+	WP_002896520.1	WP_002896520.1		ATP-dependent Clp protease adapter ClpS	clpS		KPN_RS04920	318	105	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1022830	1025109	+					clpA		KPN_RS04925	2280		old_locus_tag=KPN_00915
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1022830	1025109	+	WP_002896522.1	WP_002896522.1		ATP-dependent Clp protease ATP-binding subunit ClpA	clpA		KPN_RS04925	2280	759	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1025229	1025447	-					infA		KPN_RS04930	219		old_locus_tag=KPN_00916
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1025229	1025447	-	WP_001040187.1	WP_001040187.1		translation initiation factor IF-1	infA		KPN_RS04930	219	72	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1025801	1026502	-					aat		KPN_RS04935	702		old_locus_tag=KPN_00917
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1025801	1026502	-	WP_002898014.1	WP_002898014.1		leucyl/phenylalanyl-tRNA--protein transferase	aat		KPN_RS04935	702	233	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1026547	1028268	-					cydC		KPN_RS04940	1722		old_locus_tag=KPN_00918
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1026547	1028268	-	WP_012068503.1	WP_012068503.1		heme ABC transporter ATP-binding protein/permease CydC	cydC		KPN_RS04940	1722	573	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1028269	1030035	-					cydD		KPN_RS04945	1767		old_locus_tag=KPN_00919
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1028269	1030035	-	WP_002898017.1	WP_002898017.1		heme ABC transporter permease/ATP-binding protein CydD	cydD		KPN_RS04945	1767	588	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1030150	1031118	-					trxB		KPN_RS04950	969		old_locus_tag=KPN_00920
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1030150	1031118	-	WP_002898019.1	WP_002898019.1		thioredoxin-disulfide reductase	trxB		KPN_RS04950	969	322	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1031651	1032145	+					lrp		KPN_RS04960	495		old_locus_tag=KPN_00921
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1031651	1032145	+	WP_000228469.1	WP_000228469.1		leucine-responsive transcriptional regulator Lrp	lrp		KPN_RS04960	495	164	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1032281	1036534	+					ftsK		KPN_RS04965	4254		old_locus_tag=KPN_00922
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1032281	1036534	+	WP_012068504.1	WP_012068504.1		DNA translocase FtsK	ftsK		KPN_RS04965	4254	1417	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1036657	1037268	+					lolA		KPN_RS04970	612		old_locus_tag=KPN_00923
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1036657	1037268	+	WP_002898132.1	WP_002898132.1		outer membrane lipoprotein chaperone LolA	lolA		KPN_RS04970	612	203	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1037277	1038620	+					rarA		KPN_RS04975	1344		old_locus_tag=KPN_00924
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1037277	1038620	+	WP_002898137.1	WP_002898137.1		replication-associated recombination protein RarA	rarA		KPN_RS04975	1344	447	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1038711	1040003	+					serS		KPN_RS04980	1293		old_locus_tag=KPN_00925
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1038711	1040003	+	WP_002898139.1	WP_002898139.1		serine--tRNA ligase	serS		KPN_RS04980	1293	430	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1040204	1042642	+					dmsA		KPN_RS04985	2439		old_locus_tag=KPN_00926
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1040204	1042642	+	WP_012068505.1	WP_012068505.1		dimethylsulfoxide reductase subunit A	dmsA		KPN_RS04985	2439	812	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1042653	1043270	+							KPN_RS04990	618		old_locus_tag=KPN_00927
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1042653	1043270	+	WP_012068506.1	WP_012068506.1		DMSO/selenate family reductase complex B subunit			KPN_RS04990	618	205	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1043272	1044135	+							KPN_RS04995	864		old_locus_tag=KPN_00928
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1043272	1044135	+	WP_004183542.1	WP_004183542.1		dimethyl sulfoxide reductase anchor subunit family protein			KPN_RS04995	864	287	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1044410	1045558	+							KPN_RS05005	1149		old_locus_tag=KPN_00929
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1044410	1045558	+	WP_004150843.1	WP_004150843.1		MFS transporter			KPN_RS05005	1149	382	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1045721	1046461	-					pflA		KPN_RS05010	741		old_locus_tag=KPN_00930
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1045721	1046461	-	WP_002898145.1	WP_002898145.1		pyruvate formate lyase 1-activating protein	pflA		KPN_RS05010	741	246	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1046653	1048935	-					pflB		KPN_RS05015	2283		old_locus_tag=KPN_00931
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1046653	1048935	-	WP_002898148.1	WP_002898148.1		formate C-acetyltransferase	pflB		KPN_RS05015	2283	760	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1048987	1049844	-					focA		KPN_RS05020	858		old_locus_tag=KPN_00932
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1048987	1049844	-	WP_002898150.1	WP_002898150.1		formate transporter FocA	focA		KPN_RS05020	858	285	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1050230	1051990	-					ycaO		KPN_RS05025	1761		old_locus_tag=KPN_00933
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1050230	1051990	-	WP_004150842.1	WP_004150842.1		30S ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO		KPN_RS05025	1761	586	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1052106	1052798	+							KPN_RS05030	693		old_locus_tag=KPN_00934
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1052106	1052798	+	WP_002898152.1	WP_002898152.1		DUF421 domain-containing protein			KPN_RS05030	693	230	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1052987	1054075	+					serC		KPN_RS05035	1089		old_locus_tag=KPN_00935
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1052987	1054075	+	WP_009486275.1	WP_009486275.1		3-phosphoserine/phosphohydroxythreonine transaminase	serC		KPN_RS05035	1089	362	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1054149	1055432	+					aroA		KPN_RS05040	1284		old_locus_tag=KPN_00936
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1054149	1055432	+	WP_012068507.1	WP_012068507.1		3-phosphoshikimate 1-carboxyvinyltransferase	aroA		KPN_RS05040	1284	427	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1055607	1056290	+					cmk		KPN_RS05045	684		old_locus_tag=KPN_00937
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1055607	1056290	+	WP_002898160.1	WP_002898160.1		(d)CMP kinase	cmk		KPN_RS05045	684	227	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1056424	1058097	+					rpsA		KPN_RS05050	1674		old_locus_tag=KPN_00938
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1056424	1058097	+	WP_002898162.1	WP_002898162.1		30S ribosomal protein S1	rpsA		KPN_RS05050	1674	557	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1058249	1058536	+					ihfB		KPN_RS05055	288		old_locus_tag=KPN_00939
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1058249	1058536	+	WP_002898165.1	WP_002898165.1		integration host factor subunit beta	ihfB		KPN_RS05055	288	95	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1058742	1061006	+							KPN_RS05060	2265		old_locus_tag=KPN_00940
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1058742	1061006	+	WP_012068508.1	WP_012068508.1		ComEC family protein			KPN_RS05060	2265	754	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1061043	1062791	+					msbA		KPN_RS05065	1749		old_locus_tag=KPN_00941
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1061043	1062791	+	WP_002898170.1	WP_002898170.1		lipid A ABC transporter ATP-binding protein/permease MsbA	msbA		KPN_RS05065	1749	582	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1062788	1063768	+					lpxK		KPN_RS05070	981		old_locus_tag=KPN_00942
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1062788	1063768	+	WP_004183546.1	WP_004183546.1		tetraacyldisaccharide 4'-kinase	lpxK		KPN_RS05070	981	326	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1063823	1065052	+							KPN_RS05075	1230		old_locus_tag=KPN_00943
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1063823	1065052	+	WP_009486271.1	WP_009486271.1		winged helix-turn-helix domain-containing protein			KPN_RS05075	1230	409	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1065116	1065298	+					ycaR		KPN_RS05080	183		old_locus_tag=KPN_00944
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1065116	1065298	+	WP_002898177.1	WP_002898177.1		protein YcaR	ycaR		KPN_RS05080	183	60	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1065295	1066041	+					kdsB		KPN_RS05085	747		old_locus_tag=KPN_00945
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1065295	1066041	+	WP_002898180.1	WP_002898180.1		3-deoxy-manno-octulosonate cytidylyltransferase	kdsB		KPN_RS05085	747	248	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1066179	1067072	+							KPN_RS05090	894		old_locus_tag=KPN_00946
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1066179	1067072	+	WP_012068510.1	WP_012068510.1		YcbJ family phosphotransferase			KPN_RS05090	894	297	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1067049	1067828	-					elyC		KPN_RS05095	780		old_locus_tag=KPN_00947
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1067049	1067828	-	WP_004141786.1	WP_004141786.1		envelope biogenesis factor ElyC	elyC		KPN_RS05095	780	259	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1067950	1068750	+					cmoM		KPN_RS05100	801		old_locus_tag=KPN_00948
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1067950	1068750	+	WP_002898187.1	WP_002898187.1		tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM	cmoM		KPN_RS05100	801	266	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1068747	1070069	+					mukF		KPN_RS05105	1323		old_locus_tag=KPN_00949
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1068747	1070069	+	WP_002898189.1	WP_002898189.1		chromosome partition protein MukF	mukF		KPN_RS05105	1323	440	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1070050	1070754	+					mukE		KPN_RS05110	705		old_locus_tag=KPN_00950
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1070050	1070754	+	WP_004150840.1	WP_004150840.1		chromosome partition protein MukE	mukE		KPN_RS05110	705	234	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1070754	1075202	+					mukB		KPN_RS05115	4449		old_locus_tag=KPN_00951
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1070754	1075202	+	WP_012068512.1	WP_012068512.1		chromosome partition protein MukB	mukB		KPN_RS05115	4449	1482	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1075403	1077193	+					ldtD		KPN_RS05120	1791		old_locus_tag=KPN_00952
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1075403	1077193	+	WP_041937598.1	WP_041937598.1		L,D-transpeptidase	ldtD		KPN_RS05120	1791	596	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1077496	1078047	+							KPN_RS05125	552		old_locus_tag=KPN_00953
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1077496	1078047	+	WP_002898198.1	WP_002898198.1		YcbK family protein			KPN_RS05125	552	183	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1078061	1078708	+							KPN_RS05130	648		old_locus_tag=KPN_00954
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1078061	1078708	+	WP_002898200.1	WP_002898200.1		MBL fold metallo-hydrolase			KPN_RS05130	648	215	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1078777	1079967	-							KPN_RS05135	1191		old_locus_tag=KPN_00955
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1078777	1079967	-	WP_002898202.1	WP_002898202.1		amino acid aminotransferase			KPN_RS05135	1191	396	
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1080155	1081235	-					ompK35		KPN_RS05140	1081		pseudo;old_locus_tag=KPN_00956
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1080155	1081235	-				porin OmpK35	ompK35		KPN_RS05140	1081		pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1081394	1083421	+							KPN_RS05145	2028		old_locus_tag=KPN_00958
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1081394	1083421	+	WP_004152345.1	WP_004152345.1		type I restriction-modification system subunit M			KPN_RS05145	2028	675	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1083418	1084734	+							KPN_RS05150	1317		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1083418	1084734	+	WP_004152344.1	WP_004152344.1		restriction endonuclease subunit S			KPN_RS05150	1317	438	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1084735	1087992	+							KPN_RS05155	3258		old_locus_tag=KPN_00959
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1084735	1087992	+	WP_004152343.1	WP_004152343.1		type I restriction endonuclease subunit R			KPN_RS05155	3258	1085	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1087997	1089265	+							KPN_RS05160	1269		old_locus_tag=KPN_00960
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1087997	1089265	+	WP_004152342.1	WP_004152342.1		ISL3-like element ISKpn25 family transposase			KPN_RS05160	1269	422	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1089989	1091389	-					asnS		KPN_RS05165	1401		old_locus_tag=KPN_00961
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1089989	1091389	-	WP_002898206.1	WP_002898206.1		asparagine--tRNA ligase	asnS		KPN_RS05165	1401	466	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1091565	1092026	-							KPN_RS05170	462		old_locus_tag=KPN_00962
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1091565	1092026	-	WP_002898209.1	WP_002898209.1		Lrp/AsnC family transcriptional regulator			KPN_RS05170	462	153	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1092338	1093549	+					dpaL		KPN_RS05175	1212		old_locus_tag=KPN_00963
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1092338	1093549	+	WP_004199498.1	WP_004199498.1		diaminopropionate ammonia-lyase	dpaL		KPN_RS05175	1212	403	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1093672	1094961	+							KPN_RS05180	1290		old_locus_tag=KPN_00964
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1093672	1094961	+	WP_012068516.1	WP_012068516.1		aromatic amino acid transport family protein			KPN_RS05180	1290	429	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1094986	1096224	+							KPN_RS05185	1239		old_locus_tag=KPN_00965
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1094986	1096224	+	WP_004141764.1	WP_004141764.1		Zn-dependent hydrolase			KPN_RS05185	1239	412	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1096243	1097409	+							KPN_RS05190	1167		old_locus_tag=KPN_00966
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	1096243	1097409	+	WP_004147828.1	WP_004147828.1		M20 aminoacylase family protein			KPN_RS05190	1167	388	
