lcl|NC_032089.1_cds_XP_719073.1_1	CAALFM_C100020CA
lcl|NC_032090.1_cds_XP_714829.2_1983	CAALFM_C206860WA
lcl|NC_032090.1_cds_XP_714832.2_1984	CAALFM_C206870CA
lcl|NC_032090.1_cds_XP_714833.1_1985	CAALFM_C206880CA
lcl|NC_032090.1_cds_XP_714834.1_1986	CAALFM_C206890CA
lcl|NC_032090.1_cds_XP_714835.1_1987	CAALFM_C206910WA
lcl|NC_032090.1_cds_XP_714836.1_1988	CAALFM_C206920CA
lcl|NC_032090.1_cds_XP_714837.2_1989	CAALFM_C206930CA
lcl|NC_032090.1_cds_XP_714838.1_1990	CAALFM_C206940CA
lcl|NC_032090.1_cds_XP_714839.2_1991	CAALFM_C206950CA
lcl|NC_032090.1_cds_XP_714840.1_1992	CAALFM_C206960WA
lcl|NC_032090.1_cds_XP_714841.2_1993	CAALFM_C206970WA
lcl|NC_032090.1_cds_XP_714842.1_1994	CAALFM_C206980WA
lcl|NC_032090.1_cds_XP_714843.1_1995	CAALFM_C206990WA
lcl|NC_032090.1_cds_XP_714846.2_1996	CAALFM_C207000WA
lcl|NC_032090.1_cds_XP_019330796.1_1997	CAALFM_C207010WA
lcl|NC_032090.1_cds_XP_714848.2_1998	CAALFM_C207020CA
lcl|NC_032090.1_cds_XP_714849.2_1999	CAALFM_C207030CA
lcl|NC_032090.1_cds_XP_714850.2_2000	CAALFM_C207040WA
lcl|NC_032090.1_cds_XP_714851.2_2001	CAALFM_C207060WA
lcl|NC_032090.1_cds_XP_714852.1_2002	CAALFM_C207070WA
lcl|NC_032090.1_cds_XP_714853.1_2003	CAALFM_C207080CA
lcl|NC_032090.1_cds_XP_714854.2_2004	CAALFM_C207090CA
lcl|NC_032090.1_cds_XP_714855.2_2005	CAALFM_C207100WA
lcl|NC_032090.1_cds_XP_714856.1_2006	CAALFM_C207110CA
lcl|NC_032090.1_cds_XP_714857.1_2007	CAALFM_C207120WA
lcl|NC_032090.1_cds_XP_714858.2_2008	CAALFM_C207130CA
lcl|NC_032090.1_cds_XP_714859.2_2009	CAALFM_C207140WA
lcl|NC_032090.1_cds_XP_714860.2_2010	CAALFM_C207160WA
lcl|NC_032090.1_cds_XP_714862.2_2011	CAALFM_C207170CA
lcl|NC_032090.1_cds_XP_714863.1_2012	CAALFM_C207180WA
lcl|NC_032090.1_cds_XP_714864.1_2013	CAALFM_C207190CA
lcl|NC_032090.1_cds_XP_714865.1_2014	CAALFM_C207200WA
lcl|NC_032090.1_cds_XP_714866.2_2015	CAALFM_C207210CA
lcl|NC_032090.1_cds_XP_714867.2_2016	CAALFM_C207220WA
lcl|NC_032090.1_cds_XP_714869.2_2017	CAALFM_C207230CA
lcl|NC_032090.1_cds_XP_714870.1_2018	CAALFM_C207240CA
lcl|NC_032090.1_cds_XP_714871.1_2019	CAALFM_C207250CA
lcl|NC_032090.1_cds_XP_714872.2_2020	CAALFM_C207260CA
lcl|NC_032090.1_cds_XP_714873.2_2021	CAALFM_C207270WA
lcl|NC_032090.1_cds_XP_714874.2_2022	CAALFM_C207280WA
lcl|NC_032090.1_cds_XP_714875.1_2023	CAALFM_C207290WA
lcl|NC_032090.1_cds_XP_714876.2_2024	CAALFM_C207300CA
lcl|NC_032090.1_cds_XP_714877.1_2025	CAALFM_C207310WA
lcl|NC_032090.1_cds_XP_714878.1_2026	CAALFM_C207320WA
lcl|NC_032090.1_cds_XP_714879.2_2027	CAALFM_C207330WA
lcl|NC_032090.1_cds_XP_713159.2_2028	CAALFM_C207340WA
lcl|NC_032090.1_cds_XP_713158.2_2029	CAALFM_C207350WA
lcl|NC_032090.1_cds_XP_713157.1_2030	CAALFM_C207360WA
lcl|NC_032090.1_cds_XP_713154.1_2031	CAALFM_C207370WA
lcl|NC_032090.1_cds_XP_713153.1_2032	CAALFM_C207380WA
lcl|NC_032090.1_cds_XP_713150.2_2033	CAALFM_C207390CA
lcl|NC_032090.1_cds_XP_713148.1_2034	CAALFM_C207400CA
lcl|NC_032090.1_cds_XP_713147.1_2035	CAALFM_C207410WA
lcl|NC_032090.1_cds_XP_713146.2_2036	CAALFM_C207420WA
lcl|NC_032090.1_cds_XP_713145.2_2037	CAALFM_C207430CA
lcl|NC_032090.1_cds_XP_713144.2_2038	CAALFM_C207440CA
lcl|NC_032090.1_cds_XP_713143.1_2039	CAALFM_C207450CA
lcl|NC_032090.1_cds_XP_713142.2_2040	CAALFM_C207460WA
lcl|NC_032090.1_cds_XP_713140.2_2041	CAALFM_C207470WA
lcl|NC_032090.1_cds_XP_713138.2_2042	CAALFM_C207480WA
lcl|NC_032090.1_cds_XP_713137.1_2043	CAALFM_C207490WA
lcl|NC_032090.1_cds_XP_713135.2_2044	CAALFM_C207500CA
lcl|NC_032090.1_cds_XP_713134.2_2045	CAALFM_C207510WA
lcl|NC_032090.1_cds_XP_713133.2_2046	CAALFM_C207520CA
lcl|NC_032090.1_cds_XP_019330797.1_2047	CAALFM_C207530CA
lcl|NC_032090.1_cds_XP_713130.1_2048	CAALFM_C207540WA
lcl|NC_032090.1_cds_XP_713129.1_2049	CAALFM_C207550WA
lcl|NC_032090.1_cds_XP_713128.2_2050	CAALFM_C207560WA
lcl|NC_032090.1_cds_XP_713125.2_2051	CAALFM_C207570WA
lcl|NC_032090.1_cds_XP_713124.2_2052	CAALFM_C207580WA
lcl|NC_032090.1_cds_XP_713123.1_2053	CAALFM_C207590WA
lcl|NC_032090.1_cds_XP_713122.2_2054	CAALFM_C207600CA
lcl|NC_032090.1_cds_XP_713121.1_2055	CAALFM_C207610CA
lcl|NC_032090.1_cds_XP_713120.2_2056	CAALFM_C207620WA
lcl|NC_032090.1_cds_XP_713119.1_2057	CAALFM_C207630CA
lcl|NC_032090.1_cds_XP_713118.1_2058	CAALFM_C207640WA
lcl|NC_032090.1_cds_XP_716057.2_2059	CAALFM_C207650CA
lcl|NC_032090.1_cds_XP_716056.2_2060	CAALFM_C207660WA
lcl|NC_032090.1_cds_XP_716055.1_2061	CAALFM_C207670CA
lcl|NC_032090.1_cds_XP_716054.2_2062	CAALFM_C207680WA
lcl|NC_032090.1_cds_XP_716053.2_2063	CAALFM_C207690WA
lcl|NC_032090.1_cds_XP_716052.1_2064	CAALFM_C207700CA
lcl|NC_032090.1_cds_XP_716051.1_2065	CAALFM_C207710WA
lcl|NC_032090.1_cds_XP_716050.1_2066	CAALFM_C207720CA
lcl|NC_032090.1_cds_XP_716049.2_2067	CAALFM_C207730WA
lcl|NC_032090.1_cds_XP_716048.2_2068	CAALFM_C207740WA
lcl|NC_032090.1_cds_XP_019330798.1_2069	CAALFM_C207750WA
lcl|NC_032090.1_cds_XP_716044.2_2070	CAALFM_C207760WA
lcl|NC_032090.1_cds_XP_019330799.1_2071	CAALFM_C207770CA
lcl|NC_032090.1_cds_XP_716042.1_2072	CAALFM_C207790CA
lcl|NC_032090.1_cds_XP_716041.1_2073	CAALFM_C207800WA
lcl|NC_032090.1_cds_XP_716040.1_2074	CAALFM_C207810WA
lcl|NC_032090.1_cds_XP_716039.2_2075	CAALFM_C207820CA
lcl|NC_032090.1_cds_XP_716038.2_2076	CAALFM_C207830WA
lcl|NC_032090.1_cds_XP_716037.2_2077	CAALFM_C207840WA
lcl|NC_032090.1_cds_XP_716036.2_2078	CAALFM_C207860WA
lcl|NC_032090.1_cds_XP_716035.1_2079	CAALFM_C207870CA
lcl|NC_032090.1_cds_XP_716034.1_2080	CAALFM_C207880WA
lcl|NC_032090.1_cds_XP_716033.1_2081	CAALFM_C207890WA
lcl|NC_032090.1_cds_XP_716032.2_2082	CAALFM_C207900WA
lcl|NC_032090.1_cds_XP_019330800.1_2083	CAALFM_C207910CA
lcl|NC_032090.1_cds_XP_716031.2_2084	CAALFM_C207920WA
lcl|NC_032090.1_cds_XP_716030.2_2085	CAALFM_C207930CA
lcl|NC_032090.1_cds_XP_716028.2_2086	CAALFM_C207940CA
lcl|NC_032090.1_cds_XP_716027.1_2087	CAALFM_C207950WA
lcl|NC_032090.1_cds_XP_716026.1_2088	CAALFM_C207960CA
lcl|NC_032090.1_cds_XP_716025.1_2089	CAALFM_C207980WA
lcl|NC_032090.1_cds_XP_716024.1_2090	CAALFM_C208000CA
lcl|NC_032090.1_cds_XP_716023.1_2091	CAALFM_C208010WA
lcl|NC_032090.1_cds_XP_716021.1_2092	CAALFM_C208020CA
lcl|NC_032090.1_cds_XP_716022.1_2093	CAALFM_C208030WA
lcl|NC_032090.1_cds_XP_019330801.1_2094	CAALFM_C208040CA
lcl|NC_032090.1_cds_XP_716020.1_2095	CAALFM_C208050CA
lcl|NC_032090.1_cds_XP_019330802.1_2096	CAALFM_C208060WA
lcl|NC_032090.1_cds_XP_716019.1_2097	CAALFM_C208070CA
lcl|NC_032090.1_cds_XP_716017.2_2098	CAALFM_C208080CA
lcl|NC_032090.1_cds_XP_716018.1_2099	CAALFM_C208090WA
lcl|NC_032090.1_cds_XP_716016.2_2100	CAALFM_C208100WA
lcl|NC_032090.1_cds_XP_716015.2_2101	CAALFM_C208110WA
lcl|NC_032090.1_cds_XP_019330803.1_2102	CAALFM_C208120WA
lcl|NC_032090.1_cds_XP_716013.2_2103	CAALFM_C208130WA
lcl|NC_032090.1_cds_XP_716011.2_2104	CAALFM_C208140CA
lcl|NC_032090.1_cds_XP_716010.2_2105	CAALFM_C208150WA
lcl|NC_032090.1_cds_XP_019330804.1_2106	CAALFM_C208160CA
lcl|NC_032090.1_cds_XP_716009.1_2107	CAALFM_C208170WA
lcl|NC_032090.1_cds_XP_019330805.1_2108	CAALFM_C208180CA
lcl|NC_032090.1_cds_XP_716007.1_2109	CAALFM_C208190WA
lcl|NC_032090.1_cds_XP_716006.2_2110	CAALFM_C208200WA
lcl|NC_032090.1_cds_XP_019330806.1_2111	CAALFM_C208210CA
lcl|NC_032090.1_cds_XP_716059.2_2112	CAALFM_C208240WA
lcl|NC_032090.1_cds_XP_716060.2_2113	CAALFM_C208260WA
lcl|NC_032090.1_cds_XP_716062.2_2114	CAALFM_C208270CA
lcl|NC_032090.1_cds_XP_710085.1_2115	CAALFM_C208280WA
lcl|NC_032090.1_cds_XP_710084.1_2116	CAALFM_C208290CA
lcl|NC_032090.1_cds_XP_710236.2_2117	CAALFM_C208310WA
lcl|NC_032090.1_cds_XP_710235.2_2118	CAALFM_C208320CA
lcl|NC_032090.1_cds_XP_710234.1_2119	CAALFM_C208330WA
lcl|NC_032090.1_cds_XP_710233.1_2120	CAALFM_C208340CA
lcl|NC_032090.1_cds_XP_717658.2_2121	CAALFM_C208350CA
lcl|NC_032090.1_cds_XP_717657.1_2122	CAALFM_C208360CA
lcl|NC_032090.1_cds_XP_710148.2_2123	CAALFM_C208370CA
lcl|NC_032090.1_cds_XP_710147.2_2124	CAALFM_C208380CA
lcl|NC_032090.1_cds_XP_710146.1_2125	CAALFM_C208390WA
lcl|NC_032090.1_cds_XP_019330807.1_2126	CAALFM_C208400CA
lcl|NC_032090.1_cds_XP_714480.2_2127	CAALFM_C208420WA
lcl|NC_032090.1_cds_XP_714479.2_2128	CAALFM_C208430CA
lcl|NC_032090.1_cds_XP_714477.2_2129	CAALFM_C208450WA
lcl|NC_032090.1_cds_XP_714475.1_2130	CAALFM_C208460CA
lcl|NC_032090.1_cds_XP_714473.2_2131	CAALFM_C208470CA
lcl|NC_032090.1_cds_XP_714472.2_2132	CAALFM_C208480WA
lcl|NC_032090.1_cds_XP_714471.1_2133	CAALFM_C208490WA
lcl|NC_032090.1_cds_XP_714470.1_2134	CAALFM_C208500WA
lcl|NC_032090.1_cds_XP_714469.2_2135	CAALFM_C208510WA
lcl|NC_032090.1_cds_XP_019330808.1_2136	CAALFM_C208520CA
lcl|NC_032090.1_cds_XP_714468.2_2137	CAALFM_C208530CA
lcl|NC_032090.1_cds_XP_714467.2_2138	CAALFM_C208540CA
lcl|NC_032090.1_cds_XP_714466.2_2139	CAALFM_C208550CA
lcl|NC_032090.1_cds_XP_714465.2_2140	CAALFM_C208560WA
lcl|NC_032090.1_cds_XP_714464.1_2141	CAALFM_C208570WA
lcl|NC_032090.1_cds_XP_714463.2_2142	CAALFM_C208580WA
lcl|NC_032090.1_cds_XP_714462.1_2143	CAALFM_C208590WA
lcl|NC_032090.1_cds_XP_714461.2_2144	CAALFM_C208600WA
lcl|NC_032090.1_cds_XP_714460.2_2145	CAALFM_C208610WA
lcl|NC_032090.1_cds_XP_714459.2_2146	CAALFM_C208620WA
lcl|NC_032090.1_cds_XP_714457.1_2147	CAALFM_C208630CA
lcl|NC_032090.1_cds_XP_714456.1_2148	CAALFM_C208640CA
lcl|NC_032090.1_cds_XP_714455.1_2149	CAALFM_C208650WA
lcl|NC_032090.1_cds_XP_714454.1_2150	CAALFM_C208660CA
lcl|NC_032090.1_cds_XP_714453.1_2151	CAALFM_C208670CA
lcl|NC_032090.1_cds_XP_714452.1_2152	CAALFM_C208680WA
lcl|NC_032090.1_cds_XP_714451.2_2153	CAALFM_C208690CA
lcl|NC_032090.1_cds_XP_714450.1_2154	CAALFM_C208700CA
lcl|NC_032090.1_cds_XP_714449.1_2155	CAALFM_C208710WA
lcl|NC_032090.1_cds_XP_714448.2_2156	CAALFM_C208720WA
lcl|NC_032090.1_cds_XP_714447.2_2157	CAALFM_C208730WA
lcl|NC_032090.1_cds_XP_714445.2_2158	CAALFM_C208740WA
lcl|NC_032090.1_cds_XP_714444.2_2159	CAALFM_C208750WA
lcl|NC_032090.1_cds_XP_714443.1_2160	CAALFM_C208760CA
lcl|NC_032090.1_cds_XP_714441.1_2161	CAALFM_C208770CA
lcl|NC_032090.1_cds_XP_714440.2_2162	CAALFM_C208780WA
lcl|NC_032090.1_cds_XP_714439.2_2163	CAALFM_C208790WA
lcl|NC_032090.1_cds_XP_714438.2_2164	CAALFM_C208800CA
lcl|NC_032090.1_cds_XP_714437.2_2165	CAALFM_C208810CA
lcl|NC_032090.1_cds_XP_714436.2_2166	CAALFM_C208820CA
lcl|NC_032090.1_cds_XP_714435.2_2167	CAALFM_C208830WA
lcl|NC_032090.1_cds_XP_714432.1_2168	CAALFM_C208840WA
lcl|NC_032090.1_cds_XP_712608.1_2169	CAALFM_C208850CA
lcl|NC_032090.1_cds_XP_712606.2_2170	CAALFM_C208860WA
lcl|NC_032090.1_cds_XP_712603.2_2171	CAALFM_C208870CA
lcl|NC_032090.1_cds_XP_712602.1_2172	CAALFM_C208880WA
lcl|NC_032090.1_cds_XP_712601.2_2173	CAALFM_C208890WA
lcl|NC_032090.1_cds_XP_019330809.1_2174	CAALFM_C208900WA
lcl|NC_032090.1_cds_XP_712600.1_2175	CAALFM_C208910CA
lcl|NC_032090.1_cds_XP_712599.1_2176	CAALFM_C208920WA
lcl|NC_032090.1_cds_XP_712597.1_2177	CAALFM_C208930WA
lcl|NC_032090.1_cds_XP_712596.1_2178	CAALFM_C208940CA
lcl|NC_032090.1_cds_XP_712595.1_2179	CAALFM_C208950WA
lcl|NC_032090.1_cds_XP_712594.2_2180	CAALFM_C208960CA
lcl|NC_032090.1_cds_XP_712593.2_2181	CAALFM_C208970CA
lcl|NC_032090.1_cds_XP_712591.2_2182	CAALFM_C208980CA
lcl|NC_032090.1_cds_XP_712590.2_2183	CAALFM_C208990CA
lcl|NC_032090.1_cds_XP_712589.2_2184	CAALFM_C209000CA
lcl|NC_032090.1_cds_XP_712588.1_2185	CAALFM_C209010WA
lcl|NC_032090.1_cds_XP_712587.2_2186	CAALFM_C209020WA
lcl|NC_032090.1_cds_XP_019330810.1_2187	CAALFM_C209030WA
lcl|NC_032090.1_cds_XP_712585.2_2188	CAALFM_C209040WA
lcl|NC_032090.1_cds_XP_712584.2_2189	CAALFM_C209050CA
lcl|NC_032090.1_cds_XP_712583.1_2190	CAALFM_C209060CA
lcl|NC_032090.1_cds_XP_714240.2_2191	CAALFM_C209070CA
lcl|NC_032090.1_cds_XP_019330811.1_2192	CAALFM_C209080CA
lcl|NC_032090.1_cds_XP_714242.1_2193	CAALFM_C209100CA
lcl|NC_032090.1_cds_XP_714243.1_2194	CAALFM_C209110CA
lcl|NC_032090.1_cds_XP_714246.2_2195	CAALFM_C209130CA
lcl|NC_032090.1_cds_XP_714247.2_2196	CAALFM_C209140CA
lcl|NC_032090.1_cds_XP_714248.2_2197	CAALFM_C209150WA
lcl|NC_032090.1_cds_XP_714249.1_2198	CAALFM_C209160WA
lcl|NC_032090.1_cds_XP_714250.1_2199	CAALFM_C209170WA
lcl|NC_032090.1_cds_XP_714251.1_2200	CAALFM_C209180WA
lcl|NC_032090.1_cds_XP_714253.1_2201	CAALFM_C209220WA
lcl|NC_032090.1_cds_XP_714255.1_2202	CAALFM_C209230CA
lcl|NC_032090.1_cds_XP_714256.1_2203	CAALFM_C209240CA
lcl|NC_032090.1_cds_XP_714257.1_2204	CAALFM_C209250WA
lcl|NC_032090.1_cds_XP_714259.2_2205	CAALFM_C209260CA
lcl|NC_032090.1_cds_XP_714260.2_2206	CAALFM_C209270CA
lcl|NC_032090.1_cds_XP_714261.1_2207	CAALFM_C209280CA
lcl|NC_032090.1_cds_XP_019330812.1_2208	CAALFM_C209290WA
lcl|NC_032090.1_cds_XP_714262.1_2209	CAALFM_C209300WA
lcl|NC_032090.1_cds_XP_714263.1_2210	CAALFM_C209310CA
lcl|NC_032090.1_cds_XP_714264.2_2211	CAALFM_C209320CA
lcl|NC_032090.1_cds_XP_714265.2_2212	CAALFM_C209330CA
lcl|NC_032090.1_cds_XP_714266.1_2213	CAALFM_C209340WA
lcl|NC_032090.1_cds_XP_714267.2_2214	CAALFM_C209350WA
lcl|NC_032090.1_cds_XP_714268.1_2215	CAALFM_C209360WA
lcl|NC_032090.1_cds_XP_714271.2_2216	CAALFM_C209370CA
lcl|NC_032090.1_cds_XP_710002.1_2217	CAALFM_C209380WA
lcl|NC_032090.1_cds_XP_710678.2_2218	CAALFM_C209390WA
lcl|NC_032090.1_cds_XP_710679.2_2219	CAALFM_C209400CA
lcl|NC_032090.1_cds_XP_710681.2_2220	CAALFM_C209420WA
lcl|NC_032090.1_cds_XP_710682.1_2221	CAALFM_C209430WA
lcl|NC_032090.1_cds_XP_019330813.1_2222	CAALFM_C209460CA
lcl|NC_032090.1_cds_XP_710686.2_2223	CAALFM_C209470CA
lcl|NC_032090.1_cds_XP_714577.1_2224	CAALFM_C209480WA
lcl|NC_032090.1_cds_XP_714576.2_2225	CAALFM_C209490WA
lcl|NC_032090.1_cds_XP_714575.2_2226	CAALFM_C209500WA
lcl|NC_032090.1_cds_XP_714574.1_2227	CAALFM_C209510CA
lcl|NC_032090.1_cds_XP_714573.1_2228	CAALFM_C209520CA
lcl|NC_032090.1_cds_XP_714572.2_2229	CAALFM_C209530WA
lcl|NC_032090.1_cds_XP_714571.2_2230	CAALFM_C209560CA
lcl|NC_032090.1_cds_XP_714569.2_2231	CAALFM_C209570CA
lcl|NC_032090.1_cds_XP_714568.2_2232	CAALFM_C209580WA
lcl|NC_032090.1_cds_XP_714567.1_2233	CAALFM_C209590CA
lcl|NC_032090.1_cds_XP_714566.1_2234	CAALFM_C209600CA
lcl|NC_032090.1_cds_XP_714565.2_2235	CAALFM_C209610WA
lcl|NC_032090.1_cds_XP_714564.2_2236	CAALFM_C209620WA
lcl|NC_032090.1_cds_XP_714563.1_2237	CAALFM_C209630CA
lcl|NC_032090.1_cds_XP_714562.1_2238	CAALFM_C209640WA
lcl|NC_032090.1_cds_XP_714561.1_2239	CAALFM_C209650WA
lcl|NC_032090.1_cds_XP_714560.2_2240	CAALFM_C209660WA
lcl|NC_032090.1_cds_XP_714559.1_2241	CAALFM_C209670CA
lcl|NC_032090.1_cds_XP_714558.1_2242	CAALFM_C209680WA
lcl|NC_032090.1_cds_XP_714556.2_2243	CAALFM_C209690CA
lcl|NC_032090.1_cds_XP_714554.2_2244	CAALFM_C209700WA
lcl|NC_032090.1_cds_XP_714553.2_2245	CAALFM_C209710CA
lcl|NC_032090.1_cds_XP_714552.1_2246	CAALFM_C209720WA
lcl|NC_032090.1_cds_XP_714551.1_2247	CAALFM_C209730CA
lcl|NC_032090.1_cds_XP_714550.1_2248	CAALFM_C209740WA
lcl|NC_032090.1_cds_XP_714549.2_2249	CAALFM_C209750WA
lcl|NC_032090.1_cds_XP_714548.1_2250	CAALFM_C209760WA
lcl|NC_032090.1_cds_XP_714547.2_2251	CAALFM_C209770CA
lcl|NC_032090.1_cds_XP_714546.1_2252	CAALFM_C209780CA
lcl|NC_032090.1_cds_XP_714545.2_2253	CAALFM_C209790WA
lcl|NC_032090.1_cds_XP_714544.1_2254	CAALFM_C209800CA
lcl|NC_032090.1_cds_XP_714543.2_2255	CAALFM_C209810CA
lcl|NC_032090.1_cds_XP_714542.2_2256	CAALFM_C209820WA
lcl|NC_032090.1_cds_XP_019330814.1_2257	CAALFM_C209830CA
lcl|NC_032090.1_cds_XP_714541.1_2258	CAALFM_C209840WA
lcl|NC_032090.1_cds_XP_714540.1_2259	CAALFM_C209850CA
lcl|NC_032090.1_cds_XP_714539.2_2260	CAALFM_C209860CA
lcl|NC_032090.1_cds_XP_714538.1_2261	CAALFM_C209870WA
lcl|NC_032090.1_cds_XP_714537.2_2262	CAALFM_C209880CA
lcl|NC_032090.1_cds_XP_714536.2_2263	CAALFM_C209890WA
lcl|NC_032090.1_cds_XP_714535.1_2264	CAALFM_C209900CA
lcl|NC_032090.1_cds_XP_019330815.1_2265	CAALFM_C209910CA
lcl|NC_032090.1_cds_XP_714534.1_2266	CAALFM_C209920WA
lcl|NC_032090.1_cds_XP_714533.1_2267	CAALFM_C209930WA
lcl|NC_032090.1_cds_XP_714532.2_2268	CAALFM_C209940WA
lcl|NC_032090.1_cds_XP_714531.2_2269	CAALFM_C209950WA
lcl|NC_032090.1_cds_XP_714530.2_2270	CAALFM_C209960WA
lcl|NC_032090.1_cds_XP_714529.1_2271	CAALFM_C209970CA
lcl|NC_032090.1_cds_XP_714430.2_2272	CAALFM_C209980WA
lcl|NC_032090.1_cds_XP_714429.2_2273	CAALFM_C209990CA
lcl|NC_032090.1_cds_XP_019330816.1_2274	CAALFM_C210000CA
lcl|NC_032090.1_cds_XP_714427.2_2275	CAALFM_C210010CA
lcl|NC_032090.1_cds_XP_714425.1_2276	CAALFM_C210020CA
lcl|NC_032090.1_cds_XP_714424.2_2277	CAALFM_C210030CA
lcl|NC_032090.1_cds_XP_714422.2_2278	CAALFM_C210050WA
lcl|NC_032090.1_cds_XP_714421.2_2279	CAALFM_C210060CA
lcl|NC_032090.1_cds_XP_714419.2_2280	CAALFM_C210070WA
lcl|NC_032090.1_cds_XP_714418.2_2281	CAALFM_C210080WA
lcl|NC_032090.1_cds_XP_714417.2_2282	CAALFM_C210090CA
lcl|NC_032090.1_cds_XP_714416.2_2283	CAALFM_C210100WA
lcl|NC_032090.1_cds_XP_714415.1_2284	CAALFM_C210110WA
lcl|NC_032090.1_cds_XP_714414.1_2285	CAALFM_C210120WA
lcl|NC_032090.1_cds_XP_714413.2_2286	CAALFM_C210130WA
lcl|NC_032090.1_cds_XP_714412.2_2287	CAALFM_C210140WA
lcl|NC_032090.1_cds_XP_714411.2_2288	CAALFM_C210150WA
lcl|NC_032090.1_cds_XP_714410.1_2289	CAALFM_C210160WA
lcl|NC_032090.1_cds_XP_714409.1_2290	CAALFM_C210170CA
lcl|NC_032090.1_cds_XP_714408.2_2291	CAALFM_C210180WA
lcl|NC_032090.1_cds_XP_714407.2_2292	CAALFM_C210190CA
lcl|NC_032090.1_cds_XP_714406.2_2293	CAALFM_C210200WA
lcl|NC_032090.1_cds_XP_714405.2_2294	CAALFM_C210210CA
lcl|NC_032090.1_cds_XP_714404.2_2295	CAALFM_C210220CA
lcl|NC_032090.1_cds_XP_714403.2_2296	CAALFM_C210230WA
lcl|NC_032090.1_cds_XP_714402.1_2297	CAALFM_C210240WA
lcl|NC_032090.1_cds_XP_714401.1_2298	CAALFM_C210250CA
lcl|NC_032090.1_cds_XP_714400.1_2299	CAALFM_C210260CA
lcl|NC_032090.1_cds_XP_714399.2_2300	CAALFM_C210270WA
lcl|NC_032090.1_cds_XP_714397.1_2301	CAALFM_C210280CA
lcl|NC_032090.1_cds_XP_019330817.1_2302	CAALFM_C210290WA
lcl|NC_032090.1_cds_XP_714394.2_2303	CAALFM_C210300CA
lcl|NC_032090.1_cds_XP_714393.2_2304	CAALFM_C210310CA
lcl|NC_032090.1_cds_XP_714392.2_2305	CAALFM_C210320CA
lcl|NC_032090.1_cds_XP_714391.2_2306	CAALFM_C210330CA
lcl|NC_032090.1_cds_XP_714390.2_2307	CAALFM_C210340WA
lcl|NC_032090.1_cds_XP_714389.1_2308	CAALFM_C210350CA
lcl|NC_032090.1_cds_XP_714388.1_2309	CAALFM_C210360CA
lcl|NC_032090.1_cds_XP_019330818.1_2310	CAALFM_C210420WA
lcl|NC_032090.1_cds_XP_717119.1_2311	CAALFM_C210430CA
lcl|NC_032090.1_cds_XP_717121.2_2312	CAALFM_C210440CA
lcl|NC_032090.1_cds_XP_717123.1_2313	CAALFM_C210450WA
lcl|NC_032090.1_cds_XP_717124.1_2314	CAALFM_C210460CA
lcl|NC_032090.1_cds_XP_717125.1_2315	CAALFM_C210470CA
lcl|NC_032090.1_cds_XP_717126.1_2316	CAALFM_C210480WA
lcl|NC_032090.1_cds_XP_717128.1_2317	CAALFM_C210530CA
lcl|NC_032090.1_cds_XP_717129.1_2318	CAALFM_C210540WA
lcl|NC_032090.1_cds_XP_717136.2_2319	CAALFM_C210550CA
lcl|NC_032090.1_cds_XP_717137.1_2320	CAALFM_C210560CA
lcl|NC_032090.1_cds_XP_717138.1_2321	CAALFM_C210570WA
lcl|NC_032090.1_cds_XP_717140.1_2322	CAALFM_C210580WA
lcl|NC_032090.1_cds_XP_717141.1_2323	CAALFM_C210590WA
lcl|NC_032090.1_cds_XP_717142.1_2324	CAALFM_C210600WA
lcl|NC_032090.1_cds_XP_717143.2_2325	CAALFM_C210610WA
lcl|NC_032090.1_cds_XP_717144.1_2326	CAALFM_C210620WA
lcl|NC_032090.1_cds_XP_717145.1_2327	CAALFM_C210630WA
lcl|NC_032090.1_cds_XP_019330819.1_2328	CAALFM_C210640CA
lcl|NC_032090.1_cds_XP_019330820.1_2329	CAALFM_C210650WA
lcl|NC_032090.1_cds_XP_717146.1_2330	CAALFM_C210660WA
lcl|NC_032090.1_cds_XP_717148.1_2331	CAALFM_C210670WA
lcl|NC_032090.1_cds_XP_717149.1_2332	CAALFM_C210680WA
lcl|NC_032090.1_cds_XP_019330821.1_2333	CAALFM_C210690WA
lcl|NC_032090.1_cds_XP_717153.1_2334	CAALFM_C210700CA
lcl|NC_032090.1_cds_XP_717154.1_2335	CAALFM_C210710WA
lcl|NC_032090.1_cds_XP_717155.1_2336	CAALFM_C210720CA
lcl|NC_032090.1_cds_XP_717156.1_2337	CAALFM_C210730WA
lcl|NC_032090.1_cds_XP_717159.1_2338	CAALFM_C210740CA
lcl|NC_032090.1_cds_XP_717160.1_2339	CAALFM_C210750CA
lcl|NC_032090.1_cds_XP_717161.1_2340	CAALFM_C210760CA
lcl|NC_032090.1_cds_XP_717162.1_2341	CAALFM_C210770WA
lcl|NC_032090.1_cds_XP_717164.1_2342	CAALFM_C210780CA
lcl|NC_032090.1_cds_XP_717165.1_2343	CAALFM_C210790CA
lcl|NC_032090.1_cds_XP_717166.1_2344	CAALFM_C210810WA
lcl|NC_032090.1_cds_XP_717168.2_2345	CAALFM_C210820CA
lcl|NC_032090.1_cds_XP_019330822.1_2346	CAALFM_C210830WA
lcl|NC_032090.1_cds_XP_717169.1_2347	CAALFM_C210840WA
lcl|NC_032090.1_cds_XP_717170.1_2348	CAALFM_C210850CA
